url	Date	Player Name	Postion	Team	Team_ID	Transaction_description
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Deon_Long2016-1-05Reserve/Future	2016-1-05	Deon Long	WR	losangelesrams	LA	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Deon_Simon2016-1-05Reserve/Future	2016-1-05	Deon Simon	DT	newyorkjets	NYJ	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Deontae_Skinner2016-1-04Reserve/Future	2016-1-04	Deontae Skinner	LB	philadelphiaeagles	PHI	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Derek_Akunne2016-1-04Reserve/Future	2016-1-04	Derek Akunne	LB	dallascowboys	DAL	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Derrick_Lott2016-1-05Reserve/Future	2016-1-05	Derrick Lott	DT	tampabaybuccaneers	TB	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Derrick_Mathews2016-1-05Terminated_(by_Club)_from_Practice_Squad	2016-1-05	Derrick Mathews	LB	washingtonredskins	WAS	Terminated (by Club) from Practice Squad	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Derrick_Mathews2016-1-12Reserve/Future	2016-1-12	Derrick Mathews	LB	washingtonredskins	WAS	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Derrick_Mathews2016-1-14Reserve/Future	2016-1-14	Derrick Mathews	LB	washingtonredskins	WAS	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Deshon_Foxx2016-1-18Reserve/Future	2016-1-18	Deshon Foxx	WR	seattleseahawks	SEA	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Desmond_Bishop2016-1-04Reserve/Future	2016-1-04	Desmond Bishop	LB	sanfrancisco49ers	SF	Reserve/Future	
http://www.nfl.com/transactions?transactionMonth=1&transactionYear=2016&transactionTeamAbbr= REC# Deveron_Carr2016-1-14Reserve/Future	2016-1-14	Deveron Carr	DB	washingtonredskins	WAS	Reserve/Future	
